event_id,product_instance_id,date,event_type,call_count,sms_count,data_count,direction,roaming,calling_msisdn,called_msisdn
145,9,2022-03-15 20:38:56,sms,0,1,0,roaming,incoming,+55-43-43035614,+55-47-47461151
146,9,2022-02-21 01:30:42,sms,0,1,0,---------,outgoing,+55-47-47461151,+282-61-95568785
147,9,2022-02-15 11:27:41,sms,0,1,0,---------,incoming,+55-66-66631037,+55-47-47461151
148,9,2022-03-16 04:08:58,data,0,0,199,---------,---------,+55-47-47461151,---------
149,9,2022-04-04 18:05:54,call,24,0,0,---------,incoming,+55-54-54371274,+55-47-47461151
150,9,2022-04-15 03:22:20,call,18,0,0,roaming,outgoing,+55-47-47461151,+55-42-42872167
151,9,2022-02-17 20:33:02,call,38,0,0,---------,outgoing,+55-47-47461151,+55-27-27420473
152,9,2022-04-11 06:26:54,sms,0,1,0,---------,outgoing,+55-47-47461151,+55-00-00624871
153,10,2022-03-07 10:03:25,sms,0,1,0,---------,incoming,+55-28-28241043,+55-47-47461151
154,10,2022-03-05 16:10:50,call,41,0,0,---------,incoming,+55-52-52038513,+55-47-47461151
155,10,2022-04-09 23:50:39,call,8,0,0,---------,incoming,+55-58-58831111,+55-47-47461151
156,10,2022-03-26 15:01:24,call,15,0,0,---------,outgoing,+55-47-47461151,+55-16-16348853
157,10,2022-02-07 06:37:39,sms,0,1,0,---------,incoming,+55-26-26148764,+55-47-47461151
158,10,2022-02-03 15:05:54,data,0,0,24,---------,---------,+55-47-47461151,---------
159,10,2022-02-05 01:21:15,data,0,0,172,---------,---------,+55-47-47461151,---------
160,10,2022-04-11 17:52:55,sms,0,1,0,---------,incoming,+55-00-00065841,+55-47-47461151
161,10,2022-02-21 09:24:36,call,2,0,0,---------,outgoing,+55-47-47461151,+55-07-07130705
162,10,2022-04-09 08:43:46,sms,0,1,0,---------,incoming,+55-22-22285367,+55-47-47461151
163,10,2022-03-03 02:07:08,data,0,0,182,---------,---------,+55-47-47461151,---------
164,10,2022-03-01 01:39:55,call,23,0,0,---------,outgoing,+55-47-47461151,+537-37-57010854
165,10,2022-02-18 18:34:54,data,0,0,116,---------,---------,+55-47-47461151,---------
166,10,2022-03-25 05:56:23,data,0,0,48,---------,---------,+55-47-47461151,---------
167,10,2022-04-14 07:08:54,call,12,0,0,---------,outgoing,+55-47-47461151,+55-28-28248736
168,11,2022-03-27 00:27:57,sms,0,1,0,---------,incoming,+55-67-67666805,+55-63-63312101
169,11,2022-02-28 17:38:19,sms,0,1,0,---------,outgoing,+55-63-63312101,+452-39-94710083
170,11,2022-03-13 08:15:52,call,46,0,0,---------,outgoing,+55-63-63312101,+55-28-28137537
171,11,2022-03-08 20:16:43,call,27,0,0,---------,incoming,+55-28-28516628,+55-63-63312101
172,11,2022-02-18 20:13:22,sms,0,1,0,roaming,incoming,+55-58-58062806,+55-63-63312101
173,11,2022-03-19 18:37:29,sms,0,1,0,---------,outgoing,+55-63-63312101,+55-27-27576584
174,11,2022-04-05 17:43:47,call,4,0,0,---------,outgoing,+55-63-63312101,+55-68-68036362
175,11,2022-04-17 09:41:06,call,13,0,0,---------,incoming,+55-30-30650332,+55-63-63312101
176,11,2022-03-24 22:56:04,data,0,0,157,---------,---------,+55-63-63312101,---------
177,11,2022-02-20 21:30:46,data,0,0,197,---------,---------,+55-63-63312101,---------
178,11,2022-04-02 21:57:02,data,0,0,103,roaming,---------,+55-63-63312101,---------
179,11,2022-04-30 12:29:01,call,18,0,0,---------,incoming,+55-26-26255440,+55-63-63312101
180,11,2022-04-16 19:03:27,data,0,0,174,---------,---------,+55-63-63312101,---------
181,11,2022-02-19 08:54:29,data,0,0,78,---------,---------,+55-63-63312101,---------
182,11,2022-02-06 05:49:38,data,0,0,199,---------,---------,+55-63-63312101,---------
183,12,2022-02-08 18:54:30,sms,0,1,0,---------,incoming,+55-38-38727585,+55-73-73151001
184,12,2022-03-19 18:37:03,sms,0,1,0,---------,incoming,+55-26-26148764,+55-73-73151001
185,12,2022-04-08 22:44:39,data,0,0,195,---------,---------,+55-73-73151001,---------
186,12,2022-04-16 19:57:57,call,7,0,0,---------,incoming,+55-76-76764363,+55-73-73151001
187,12,2022-03-29 22:27:28,data,0,0,82,---------,---------,+55-73-73151001,---------
188,12,2022-02-13 14:29:55,call,8,0,0,---------,incoming,+55-48-48823007,+55-73-73151001
189,12,2022-03-01 19:05:40,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-64-64773048
190,12,2022-02-28 01:34:44,sms,0,1,0,---------,outgoing,+55-73-73151001,+473-13-67517652
191,12,2022-04-02 04:53:51,data,0,0,171,---------,---------,+55-73-73151001,---------
192,12,2022-04-29 15:13:22,data,0,0,164,roaming,---------,+55-73-73151001,---------
193,12,2022-04-15 01:26:34,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-13-13618430
194,12,2022-02-24 10:10:45,call,17,0,0,---------,incoming,+55-83-83703884,+55-73-73151001
195,12,2022-04-15 01:21:32,data,0,0,129,---------,---------,+55-73-73151001,---------
196,12,2022-04-13 07:30:42,data,0,0,132,---------,---------,+55-73-73151001,---------
197,12,2022-04-07 01:36:15,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-68-68371857
198,12,2022-04-19 06:22:28,call,38,0,0,---------,outgoing,+55-73-73151001,+55-36-36044687
199,13,2022-04-06 21:37:44,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-08-08543880
200,13,2022-03-06 08:48:34,call,38,0,0,---------,outgoing,+55-73-73151001,+55-02-02604700
201,13,2022-02-03 09:34:11,call,3,0,0,---------,outgoing,+55-73-73151001,+55-64-64166086
202,13,2022-04-28 20:22:30,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-05-05041023
203,13,2022-04-28 19:37:52,call,25,0,0,---------,outgoing,+55-73-73151001,+55-02-02885014
204,13,2022-03-03 15:21:04,call,40,0,0,---------,outgoing,+55-73-73151001,+55-02-02322050
205,13,2022-03-19 16:08:01,sms,0,1,0,---------,incoming,+55-24-24632441,+55-73-73151001
206,13,2022-02-26 02:12:04,call,47,0,0,---------,incoming,+55-75-75404581,+55-73-73151001
207,13,2022-04-07 20:37:00,data,0,0,65,roaming,---------,+55-73-73151001,---------
208,13,2022-02-17 22:07:47,call,23,0,0,---------,outgoing,+55-73-73151001,+55-75-75312104
209,13,2022-04-20 16:56:14,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-72-72526785
210,13,2022-02-12 07:43:11,sms,0,1,0,---------,outgoing,+55-73-73151001,+55-57-57405465
211,13,2022-03-15 07:01:22,call,24,0,0,---------,incoming,+55-84-84120654,+55-73-73151001
212,13,2022-03-06 06:46:44,call,1,0,0,---------,outgoing,+55-73-73151001,+55-24-24536131
213,13,2022-02-07 17:26:05,sms,0,1,0,---------,incoming,+691-92-67334255,+55-73-73151001
214,13,2022-03-25 06:12:47,data,0,0,168,---------,---------,+55-73-73151001,---------
215,13,2022-02-03 04:42:21,data,0,0,169,---------,---------,+55-73-73151001,---------
216,14,2022-02-08 15:08:45,call,22,0,0,---------,outgoing,+55-85-85723056,+601-60-69586465
217,14,2022-03-07 20:03:25,sms,0,1,0,---------,incoming,+55-25-25676308,+55-85-85723056
218,14,2022-04-02 02:11:21,call,39,0,0,---------,outgoing,+55-85-85723056,+55-02-02832377
219,14,2022-03-16 03:30:57,call,37,0,0,---------,incoming,+55-86-86263150,+55-85-85723056
220,14,2022-02-01 18:35:18,call,7,0,0,---------,incoming,+55-00-00467657,+55-85-85723056
221,14,2022-04-25 01:45:52,call,4,0,0,---------,incoming,+55-31-31707416,+55-85-85723056
222,14,2022-02-26 23:47:28,sms,0,1,0,---------,outgoing,+55-85-85723056,+55-84-84365118
223,14,2022-02-17 13:42:31,data,0,0,117,---------,---------,+55-85-85723056,---------
224,14,2022-02-01 16:30:23,call,48,0,0,---------,outgoing,+55-85-85723056,+55-61-61471858
225,14,2022-04-08 04:22:28,call,6,0,0,---------,outgoing,+55-85-85723056,+55-00-00010161
226,14,2022-04-05 10:40:00,data,0,0,154,---------,---------,+55-85-85723056,---------
227,14,2022-02-03 04:18:35,data,0,0,110,---------,---------,+55-85-85723056,---------
228,14,2022-04-05 05:52:02,sms,0,1,0,---------,incoming,+597-67-79629135,+55-85-85723056
229,14,2022-04-21 05:47:19,call,1,0,0,---------,outgoing,+55-85-85723056,+55-46-46080476
230,14,2022-04-26 15:47:18,call,11,0,0,---------,outgoing,+55-85-85723056,+55-52-52038513
231,14,2022-03-31 20:06:59,call,44,0,0,---------,outgoing,+55-85-85723056,+55-15-15063135
232,14,2022-03-12 10:04:17,call,45,0,0,---------,outgoing,+55-85-85723056,+55-61-61711075
233,14,2022-04-15 07:49:22,data,0,0,55,---------,---------,+55-85-85723056,---------
234,14,2022-03-26 17:37:59,call,3,0,0,---------,outgoing,+55-85-85723056,+55-21-21676257
235,15,2022-03-28 06:22:08,sms,0,1,0,---------,incoming,+55-28-28208131,+55-85-85723056
236,15,2022-03-21 13:44:18,call,42,0,0,---------,outgoing,+55-85-85723056,+55-68-68773271
237,15,2022-03-24 12:27:54,call,17,0,0,---------,outgoing,+55-85-85723056,+55-58-58145023
238,15,2022-04-29 07:56:36,sms,0,1,0,roaming,outgoing,+55-85-85723056,+55-35-35302774
239,15,2022-03-27 13:43:32,sms,0,1,0,---------,incoming,+55-43-43400822,+55-85-85723056
240,15,2022-04-12 23:26:35,sms,0,1,0,---------,outgoing,+55-85-85723056,+55-62-62224420
241,15,2022-04-13 11:45:57,sms,0,1,0,---------,incoming,+55-84-84554450,+55-85-85723056
242,15,2022-02-25 17:55:41,sms,0,1,0,---------,incoming,+55-44-44415717,+55-85-85723056
243,15,2022-02-02 11:02:37,sms,0,1,0,roaming,outgoing,+55-85-85723056,+55-68-68774336
244,15,2022-04-21 14:13:58,call,17,0,0,---------,outgoing,+55-85-85723056,+55-47-47461151
245,15,2022-03-17 13:57:45,data,0,0,35,---------,---------,+55-85-85723056,---------
246,15,2022-02-13 13:04:20,data,0,0,196,---------,---------,+55-85-85723056,---------
247,15,2022-03-17 21:59:07,data,0,0,21,---------,---------,+55-85-85723056,---------
248,15,2022-04-24 00:15:55,data,0,0,196,roaming,---------,+55-85-85723056,---------
249,15,2022-04-17 22:02:05,call,26,0,0,---------,outgoing,+55-85-85723056,+55-81-81855286
250,15,2022-02-28 00:59:46,call,25,0,0,---------,outgoing,+55-85-85723056,+55-73-73848211
251,15,2022-03-29 09:03:41,sms,0,1,0,roaming,incoming,+55-57-57865544,+55-85-85723056
252,16,2022-04-04 09:14:50,call,3,0,0,---------,outgoing,+55-85-85723056,+55-01-01522382
253,16,2022-03-27 04:09:54,sms,0,1,0,---------,incoming,+55-41-41787783,+55-85-85723056
254,16,2022-03-12 07:46:03,call,7,0,0,---------,incoming,+55-75-75526367,+55-85-85723056
255,16,2022-02-21 19:34:49,sms,0,1,0,---------,outgoing,+55-85-85723056,+55-45-45861564
256,16,2022-03-06 13:08:24,data,0,0,73,---------,---------,+55-85-85723056,---------
257,16,2022-03-21 16:13:09,data,0,0,173,---------,---------,+55-85-85723056,---------
258,16,2022-04-09 13:35:13,data,0,0,75,---------,---------,+55-85-85723056,---------
259,16,2022-03-03 02:14:00,sms,0,1,0,---------,incoming,+55-43-43237371,+55-85-85723056
260,16,2022-02-16 00:20:24,sms,0,1,0,---------,outgoing,+55-85-85723056,+55-17-17216722
261,16,2022-03-21 03:56:08,call,38,0,0,---------,outgoing,+55-85-85723056,+51-84-82240795
262,16,2022-03-02 11:57:04,call,6,0,0,---------,outgoing,+55-85-85723056,+55-88-88151048
263,16,2022-02-27 19:21:21,data,0,0,10,---------,---------,+55-85-85723056,---------
264,16,2022-04-01 16:04:19,call,36,0,0,---------,incoming,+55-34-34283050,+55-85-85723056
265,16,2022-03-29 13:30:28,data,0,0,75,---------,---------,+55-85-85723056,---------
266,16,2022-03-19 20:00:40,call,20,0,0,roaming,incoming,+678-55-52767455,+55-85-85723056
267,16,2022-02-23 03:03:57,data,0,0,176,---------,---------,+55-85-85723056,---------
268,17,2022-02-27 01:21:33,data,0,0,39,---------,---------,+55-76-76652104,---------
269,17,2022-02-04 21:28:44,data,0,0,162,---------,---------,+55-76-76652104,---------
270,17,2022-04-19 17:53:29,call,32,0,0,---------,outgoing,+55-76-76652104,+55-15-15404782
271,17,2022-02-05 19:53:33,data,0,0,3,---------,---------,+55-76-76652104,---------
272,17,2022-02-16 04:28:41,sms,0,1,0,---------,incoming,+55-12-12154703,+55-76-76652104
273,17,2022-02-25 17:26:50,data,0,0,187,---------,---------,+55-76-76652104,---------
274,17,2022-02-19 10:10:08,data,0,0,39,---------,---------,+55-76-76652104,---------
275,17,2022-03-23 05:44:33,data,0,0,29,---------,---------,+55-76-76652104,---------
276,17,2022-02-09 12:13:55,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-12-12330655
277,17,2022-03-22 16:51:28,call,5,0,0,roaming,incoming,+55-81-81016452,+55-76-76652104
278,17,2022-03-22 02:34:55,data,0,0,164,---------,---------,+55-76-76652104,---------
279,17,2022-03-29 22:47:00,sms,0,1,0,roaming,outgoing,+55-76-76652104,+55-41-41858047
280,17,2022-04-16 17:19:02,call,32,0,0,---------,incoming,+55-64-64805856,+55-76-76652104
281,17,2022-04-28 11:54:54,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-36-36583563
282,17,2022-03-13 22:14:01,sms,0,1,0,---------,outgoing,+55-76-76652104,+789-90-76624410
283,17,2022-03-25 12:43:33,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-30-30628226
284,17,2022-02-13 18:33:55,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-62-62620137
285,17,2022-04-30 13:34:22,data,0,0,184,---------,---------,+55-76-76652104,---------
286,17,2022-04-04 21:11:00,data,0,0,182,---------,---------,+55-76-76652104,---------
287,18,2022-02-27 02:37:50,data,0,0,159,---------,---------,+55-76-76652104,---------
288,18,2022-03-12 22:55:26,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-00-00816483
289,18,2022-03-10 14:37:33,sms,0,1,0,---------,outgoing,+55-76-76652104,+55-83-83703884
