customer_id,first_name,last_name,date_of_birth,gender,agree_for_promo,autopay_card,email,msisdn,status,customer_category,customer_since,region,language,termination_date
31,Juliana,Almeida,1994-11-21,female,Yes,5440186015716744,juli.almei94@gmail.com,+55-12-12654282,active,phyzical,2021-04-25,"[-23.5475,-46.6361]",portuguese,----------
32,Antonia,Costa,1978-04-30,female,No,1705546832780610,anto.costa78@gmail.com,+55-53-53701722,active,phyzical,2020-04-07,"[-23.6639,-46.5383]",portuguese,----------
33,Joao,Rodrigues,1979-08-10,male,No,2426175376675807,joao.rodri79@gmail.com,+55-42-42280442,active,phyzical,2020-04-23,"[-23.5475,-46.6361]",portuguese,----------
34,Carlos,Sousa,2001-02-10,male,Yes,6448304618528481,carl.sousa1@gmail.com,+55-38-38457028,active,phyzical,2020-08-22,"[-22.9064,-43.1822]",portuguese,----------
35,Juliana,Almeida,1989-01-21,female,Yes,0608466251443486,juli.almei89@gmail.com,+55-57-57213383,active,phyzical,2020-06-28,"[-16.6786,-49.2539]",portuguese,----------
36,Antonia,Cardoso,1977-02-23,female,Yes,2455877642825034,anto.cardo77@gmail.com,+55-58-58160368,active,phyzical,2021-01-03,"[-19.9208,-43.9378]",portuguese,----------
37,Paulo,Costa,1952-03-11,male,No,7675058446786542,paul.costa52@gmail.com,+55-16-16520207,inactive,phyzical,2021-03-25,"[-19.9208,-43.9378]",portuguese,2021-04-25
38,Juliana,Barbosa,2001-02-28,female,No,1056047224614252,juli.barbo1@gmail.com,+55-38-38727585,active,phyzical,2022-02-24,"[-15.77972,-47.92972]",portuguese,----------
39,Joao,Santos,1987-04-10,male,Yes,1204301870157675,joao.santo87@gmail.com,+55-72-72054760,active,phyzical,2020-03-31,"[-23.5475,-46.6361]",portuguese,----------
40,Ana,Lima,1961-09-28,female,Yes,8118680317778638,ana.lima61@gmail.com,+55-71-71187270,active,phyzical,2020-01-01,"[-23.4628,-46.5333]",portuguese,----------
41,Jose,Alves,1939-05-26,male,Yes,----------,jose.alves39@gmail.com,+55-15-15404782,active,phyzical,2021-10-19,"[-23.5475,-46.6361]",portuguese,----------
42,Antonia,Carvalho,1983-05-24,female,Yes,----------,anto.carva83@gmail.com,+55-71-71146868,active,phyzical,2021-09-23,"[-16.6786,-49.2539]",portuguese,----------
43,Franciska,Rodrigues,1980-11-17,female,No,7556014582164723,fran.rodri80@gmail.com,+55-71-71005868,active,phyzical,2022-02-18,"[-12.9711,-38.5108]",english,----------
44,Aline,Sousa,1965-01-25,female,No,----------,alin.sousa65@gmail.com,+55-17-17208402,active,phyzical,2021-09-02,"[-23.5475,-46.6361]",portuguese,----------
45,Luiz,Carvalho,1983-08-06,male,Yes,6781426272771021,luiz.carva83@gmail.com,+55-74-74382106,active,phyzical,2020-10-28,"[-23.5475,-46.6361]",portuguese,----------
46,Lucas,Cardoso,1955-11-17,male,Yes,----------,luca.cardo55@gmail.com,+55-70-70348335,active,phyzical,2020-06-29,"[-22.7856,-43.3117]",portuguese,----------
47,Aline,Santos,1992-04-18,female,No,7182608540672606,alin.santo92@gmail.com,+55-52-52173380,active,phyzical,2020-06-22,"[-23.5475,-46.6361]",portuguese,----------
48,Fernanda,Ribeiro,1970-08-22,female,No,----------,fern.ribei70@gmail.com,+55-12-12580246,active,phyzical,2021-11-02,"[-22.9064,-43.1822]",portuguese,----------
49,Carlos,Ribeiro,1990-12-22,male,Yes,5130104553343010,carl.ribei90@gmail.com,+55-25-25041828,active,phyzical,2021-12-02,"[-9.66583,-35.7353]",portuguese,----------
50,Carlos,Cardoso,1953-08-11,male,Yes,1305403715607048,carl.cardo53@gmail.com,+55-20-20855573,active,phyzical,2020-09-09,"[-22.9064,-43.1822]",portuguese,----------
51,Antonia,Almeida,1975-09-17,female,No,----------,anto.almei75@gmail.com,+55-32-32640688,active,phyzical,2021-04-06,"[-19.9208,-43.9378]",portuguese,----------
52,Joao,Silva,1926-10-15,male,Yes,----------,joao.silva26@gmail.com,+55-63-63856878,active,phyzical,2021-10-24,"[-15.77972,-47.92972]",portuguese,----------
53,Lucas,Ferreira,1980-05-06,male,Yes,4470042770835303,luca.ferre80@gmail.com,+55-81-81755212,active,phyzical,2022-02-04,"[-22.9064,-43.1822]",portuguese,----------
54,Antonio,Silva,1998-03-01,male,No,4175120046246143,anto.silva98@gmail.com,+55-07-07621681,active,phyzical,2020-09-18,"[-3.71722,-38.5431]",portuguese,----------
55,Marcia,Araujo,1993-03-12,female,No,1412670357342004,marc.arauj93@gmail.com,+55-33-33688503,active,phyzical,2020-06-12,"[-23.5475,-46.6361]",portuguese,----------
56,Luiz,Ribeiro,1978-04-07,male,No,5407882874036775,luiz.ribei78@gmail.com,+55-38-38254421,active,phyzical,2020-07-07,"[-23.5475,-46.6361]",portuguese,----------
57,Fernanda,Ribeiro,1970-06-05,female,No,0020053754126501,fern.ribei70@gmail.com,+55-07-07060832,active,phyzical,2021-11-25,"[-23.5475,-46.6361]",english,----------
58,Antonia,Oliveira,1990-12-11,female,No,3641327378372441,anto.olive90@gmail.com,+55-44-44415717,active,phyzical,2020-11-02,"[-3.71722,-38.5431]",portuguese,----------
59,Carlos,Costa,1991-02-08,male,Yes,1376421877408432,carl.costa91@gmail.com,+55-77-77826101,active,phyzical,2022-04-11,"[-12.9711,-38.5108]",portuguese,----------
60,Antonio,Lima,1948-12-12,male,Yes,3085415811153282,anto.lima48@gmail.com,+55-52-52135538,active,phyzical,2020-10-30,"[-22.82694,-43.05389]",portuguese,----------
61,Patricia,Sousa,1985-04-15,female,Yes,8473724188470226,patr.sousa85@gmail.com,+55-84-84584001,active,phyzical,2021-11-15,"[-23.5475,-46.6361]",portuguese,----------
62,Marcos,Pereira,1965-01-12,male,No,6571670414134640,marc.perei65@gmail.com,+55-84-84404282,active,phyzical,2021-06-08,"[-3.71722,-38.5431]",portuguese,----------
63,Paulo,Sousa,1928-11-22,male,No,0124233750134000,paul.sousa28@gmail.com,+55-41-41761480,active,phyzical,2022-02-19,"[-10.9111,-37.0717]",portuguese,----------
64,Marcia,Ferreira,1957-06-13,female,Yes,2778672031283307,marc.ferre57@gmail.com,+55-06-06163124,active,phyzical,2021-11-30,"[-22.9064,-43.1822]",portuguese,----------
65,Jose,Barbosa,1999-08-31,male,Yes,3641143156837127,jose.barbo99@gmail.com,+55-04-04782121,active,phyzical,2021-12-28,"[-3.71722,-38.5431]",portuguese,----------
66,Patricia,Barbosa,1978-12-04,female,No,1464063562064532,patr.barbo78@gmail.com,+55-31-31645484,active,phyzical,2021-12-16,"[-3.10194,-60.025]",portuguese,----------
67,Andriana,Ribeiro,1995-12-22,female,No,----------,andr.ribei95@gmail.com,+55-11-11363354,active,phyzical,2022-01-08,"[-3.71722,-38.5431]",portuguese,----------
68,Maria,Costa,1964-03-02,female,Yes,1007402444334700,mari.costa64@gmail.com,+55-23-23343065,active,phyzical,2021-06-23,"[-22.9064,-43.1822]",portuguese,----------
69,Fernanda,Martins,2000-03-04,female,Yes,2653681255212362,fern.marti0@gmail.com,+55-26-26006540,active,phyzical,2021-09-13,"[-3.71722,-38.5431]",portuguese,----------
70,Carlos,Almeida,1996-08-21,male,No,4000465626615527,carl.almei96@gmail.com,+55-12-12718216,active,phyzical,2020-08-03,"[-22.9064,-43.1822]",portuguese,----------
71,Marcos,Rodrigues,1953-04-28,male,No,5451466108768405,marc.rodri53@gmail.com,+55-07-07325885,active,phyzical,2021-06-07,"[-8.05389,-34.8811]",portuguese,----------
72,Antonio,Costa,1971-11-29,male,Yes,5153067436785466,anto.costa71@gmail.com,+55-34-34660770,active,phyzical,2021-09-13,"[-23.5475,-46.6361]",portuguese,----------
73,Fernanda,Ferreira,1974-07-26,female,No,8230052163026415,fern.ferre74@gmail.com,+55-38-38302085,inactive,phyzical,2020-11-01,"[-22.9064,-43.1822]",portuguese,2022-01-29
74,Franciska,Martins,1964-08-26,female,Yes,5614673027552836,fran.marti64@gmail.com,+55-20-20153157,active,phyzical,2020-10-07,"[-15.77972,-47.92972]",portuguese,----------
75,Jose,Costa,1988-06-26,male,Yes,5233835131356468,jose.costa88@gmail.com,+55-44-44377228,active,phyzical,2021-06-12,"[-23.9608,-46.3336]",portuguese,----------
76,Marcos,Lima,1962-02-28,male,Yes,6837457173485703,marc.lima62@gmail.com,+55-27-27580804,active,phyzical,2021-08-28,"[-23.5475,-46.6361]",portuguese,----------
77,Marcia,Oliveira,1955-05-14,female,Yes,4263332462547537,marc.olive55@gmail.com,+55-50-50514317,inactive,phyzical,2020-03-04,"[-15.77972,-47.92972]",portuguese,2022-02-27
78,Patricia,Sousa,1997-10-10,female,Yes,7887807743458223,patr.sousa97@gmail.com,+55-65-65356443,active,phyzical,2021-12-06,"[-12.9711,-38.5108]",portuguese,----------
79,Jose,Lima,1990-07-14,male,No,8761078457347131,jose.lima90@gmail.com,+55-56-56702812,inactive,phyzical,2020-09-01,"[-3.71722,-38.5431]",portuguese,2021-09-21
80,Antonia,Silva,2003-09-11,female,Yes,2754157680482446,anto.silva3@gmail.com,+55-86-86148525,active,phyzical,2021-12-06,"[-3.10194,-60.025]",portuguese,----------
81,Andriana,Almeida,1996-08-08,female,Yes,4757811163751465,andr.almei96@gmail.com,+55-31-31357377,active,phyzical,2022-04-17,"[-23.9608,-46.3336]",portuguese,----------
82,Jose,Costa,1981-06-18,male,No,----------,jose.costa81@gmail.com,+55-73-73630118,inactive,phyzical,2020-12-11,"[-25.4278,-49.2731]",portuguese,2021-11-30
83,Marcos,Ferreira,1989-07-07,male,Yes,7312066858814760,marc.ferre89@gmail.com,+55-30-30803754,active,phyzical,2022-03-14,"[-23.5475,-46.6361]",portuguese,----------
84,Patricia,Rodrigues,1989-12-26,female,Yes,7141066558666236,patr.rodri89@gmail.com,+55-02-02832377,active,phyzical,2021-11-08,"[-3.71722,-38.5431]",portuguese,----------
85,Maria,Silva,1972-11-21,female,Yes,1166467117545773,mari.silva72@gmail.com,+55-77-77888013,active,phyzical,2021-03-05,"[-23.4628,-46.5333]",portuguese,----------
86,Maria,Ferreira,1977-07-03,female,No,1612362503851563,mari.ferre77@gmail.com,+55-51-51376364,active,phyzical,2022-04-16,"[-16.6786,-49.2539]",portuguese,----------
87,Carlos,Carvalho,1999-11-04,male,Yes,7764214842758661,carl.carva99@gmail.com,+55-22-22686134,active,phyzical,2020-06-10,"[-5.08917,-42.8019]",portuguese,----------
88,Luiz,Rodrigues,1956-12-06,male,No,----------,luiz.rodri56@gmail.com,+55-05-05656877,active,phyzical,2021-05-12,"[-10.9111,-37.0717]",portuguese,----------
89,Juliana,Sousa,2002-01-08,female,Yes,4841286568425217,juli.sousa2@gmail.com,+55-45-45040816,active,phyzical,2021-11-16,"[-3.71722,-38.5431]",portuguese,----------
90,Luiz,Cardoso,1972-03-24,male,Yes,8353453572321273,luiz.cardo72@gmail.com,+55-67-67476031,active,phyzical,2021-12-04,"[-8.05389,-34.8811]",portuguese,----------
91,Fernanda,Barbosa,1997-03-12,female,Yes,5336880588748264,fern.barbo97@gmail.com,+55-33-33752502,inactive,phyzical,2020-10-25,"[-19.9208,-43.9378]",portuguese,2021-06-17
92,Joao,Santos,1963-03-22,male,No,----------,joao.santo63@gmail.com,+55-65-65435186,active,phyzical,2021-11-13,"[-23.5475,-46.6361]",portuguese,----------
93,Pedro,Martins,1965-06-12,male,No,4151046753131221,pedr.marti65@gmail.com,+55-73-73058310,active,phyzical,2021-12-31,"[-16.6786,-49.2539]",portuguese,----------
94,Jose,Melo,2000-05-26,male,Yes,8656832760057783,jose.melo0@gmail.com,+55-73-73353031,active,phyzical,2021-05-11,"[-10.9111,-37.0717]",portuguese,----------
95,Marcos,Ferreira,1985-10-28,male,Yes,----------,marc.ferre85@gmail.com,+55-67-67666805,active,phyzical,2020-11-26,"[-30.0328,-51.2302]",portuguese,----------
96,Lucas,Martins,1980-02-03,male,No,4185075138058821,luca.marti80@gmail.com,+55-83-83340537,active,phyzical,2021-01-28,"[-3.71722,-38.5431]",portuguese,----------
97,Patricia,Oliveira,1996-08-23,female,No,1146366200314074,patr.olive96@gmail.com,+55-10-10856103,active,phyzical,2022-04-08,"[-1.45583,-48.5044]",portuguese,----------
98,Antonia,Sousa,1966-03-03,female,Yes,8755513564836227,anto.sousa66@gmail.com,+55-11-11501754,active,phyzical,2020-09-12,"[-16.6786,-49.2539]",portuguese,----------
99,Jose,Oliveira,1998-12-03,male,Yes,0532033868855224,jose.olive98@gmail.com,+55-51-51050223,active,phyzical,2020-06-29,"[-22.9064,-43.1822]",portuguese,----------
100,Jose,Melo,1980-03-26,male,No,7177267673538785,jose.melo80@gmail.com,+55-72-72105362,active,phyzical,2021-02-24,"[-3.10194,-60.025]",portuguese,----------
101,Joao,Oliveira,1965-10-09,male,Yes,8348568456417054,joao.olive65@gmail.com,+55-38-38847284,active,phyzical,2020-02-05,"[-23.9608,-46.3336]",portuguese,----------
102,Carlos,Barbosa,1993-11-29,male,Yes,0416084424626604,carl.barbo93@gmail.com,+55-76-76486362,active,phyzical,2020-10-10,"[-12.9711,-38.5108]",portuguese,----------
103,Jose,Melo,1971-03-23,male,Yes,2137503753423456,jose.melo71@gmail.com,+55-41-41020183,active,phyzical,2021-09-24,"[-3.10194,-60.025]",portuguese,----------
104,Lucas,Costa,1974-01-11,male,No,1513237168688645,luca.costa74@gmail.com,+55-73-73046848,active,phyzical,2020-08-15,"[-23.5475,-46.6361]",portuguese,----------
105,Juliana,Almeida,1961-03-03,female,Yes,5433235118170456,juli.almei61@gmail.com,+55-27-27747467,active,phyzical,2020-05-15,"[-23.6639,-46.5383]",portuguese,----------
106,Luiz,Cardoso,2002-05-12,male,Yes,1830670450078287,luiz.cardo2@gmail.com,+55-70-70788471,active,phyzical,2021-02-07,"[-22.9064,-43.1822]",portuguese,----------
107,Antonia,Gomes,1945-08-30,female,Yes,8632652461842224,anto.gomes45@gmail.com,+55-02-02588712,inactive,phyzical,2021-09-02,"[-22.9056,-47.0608]",portuguese,2022-04-07
108,Patricia,Costa,1996-06-03,female,Yes,4860025317547625,patr.costa96@gmail.com,+55-31-31500564,active,phyzical,2021-09-29,"[-8.05389,-34.8811]",portuguese,----------
109,Paulo,Carvalho,1952-04-24,male,No,6882080677053228,paul.carva52@gmail.com,+55-17-17450834,active,phyzical,2021-10-23,"[-5.08917,-42.8019]",portuguese,----------
110,Patricia,Lima,1995-09-11,female,Yes,2838134663622503,patr.lima95@gmail.com,+55-44-44120420,inactive,phyzical,2020-11-01,"[-15.77972,-47.92972]",portuguese,2022-01-09
111,Franciska,Almeida,1982-01-29,female,Yes,7834255545353064,fran.almei82@gmail.com,+55-36-36147581,active,phyzical,2020-07-15,"[-23.5475,-46.6361]",portuguese,----------
112,Marcia,Ribeiro,1975-11-23,female,No,5837467501342080,marc.ribei75@gmail.com,+55-06-06514400,active,phyzical,2022-04-21,"[-30.0328,-51.2302]",portuguese,----------
113,Antonio,Santos,1955-12-03,male,Yes,2686148186711411,anto.santo55@gmail.com,+55-21-21623651,active,phyzical,2020-02-18,"[-25.4278,-49.2731]",portuguese,----------
114,Marcia,Ribeiro,1986-11-15,female,Yes,1786217646135702,marc.ribei86@gmail.com,+55-57-57302517,active,phyzical,2021-11-23,"[-23.6639,-46.5383]",portuguese,----------
115,Maria,Sousa,1959-04-12,female,Yes,0315724210057268,mari.sousa59@gmail.com,+55-04-04270355,active,phyzical,2022-05-03,"[-22.9064,-43.1822]",portuguese,----------
116,Antonia,Lima,1974-05-09,female,Yes,----------,anto.lima74@gmail.com,+55-68-68713027,active,phyzical,2020-05-16,"[-22.9064,-43.1822]",portuguese,----------
117,Fernanda,Carvalho,1966-06-02,female,Yes,0404875310453451,fern.carva66@gmail.com,+55-66-66522202,active,phyzical,2020-06-12,"[-22.9056,-47.0608]",portuguese,----------
118,Patricia,Alves,1984-06-29,female,Yes,----------,patr.alves84@gmail.com,+55-22-22525645,active,phyzical,2021-12-05,"[-1.45583,-48.5044]",portuguese,----------
119,Ana,Lima,1981-04-18,female,Yes,4083738670241051,ana.lima81@gmail.com,+55-24-24437661,inactive,phyzical,2021-04-04,"[-16.6786,-49.2539]",portuguese,2021-10-16
120,Carlos,Ribeiro,1988-01-10,male,No,----------,carl.ribei88@gmail.com,+55-20-20253086,active,phyzical,2021-08-22,"[-23.5475,-46.6361]",portuguese,----------
121,Luiz,Gomes,2000-06-12,male,No,4548377840241145,luiz.gomes0@gmail.com,+55-61-61055133,active,phyzical,2021-07-09,"[-22.9064,-43.1822]",portuguese,----------
122,Ana,Silva,1976-06-26,female,Yes,3384825802128103,ana.silva76@gmail.com,+55-43-43400822,inactive,phyzical,2022-02-10,"[-22.9064,-43.1822]",portuguese,2022-04-20
123,Francisco,Araujo,1978-03-26,male,Yes,7755017148262072,fran.arauj78@gmail.com,+55-76-76183315,active,phyzical,2022-01-31,"[-23.4628,-46.5333]",portuguese,----------
124,Andriana,Silva,2002-12-01,female,Yes,0831380155363567,andr.silva2@gmail.com,+55-62-62842615,inactive,phyzical,2021-09-13,"[-23.5475,-46.6361]",portuguese,2022-04-02
125,Paulo,Cardoso,1960-07-12,male,Yes,6581750618614400,paul.cardo60@gmail.com,+55-68-68448374,active,phyzical,2020-02-10,"[-22.9056,-47.0608]",portuguese,----------
126,Aline,Lima,1974-05-22,female,No,8111277774387074,alin.lima74@gmail.com,+55-03-03273817,active,phyzical,2021-02-02,"[-23.5475,-46.6361]",portuguese,----------
127,Carlos,Costa,1980-01-24,male,Yes,3814224081831145,carl.costa80@gmail.com,+55-65-65773515,active,phyzical,2021-04-17,"[-19.9208,-43.9378]",portuguese,----------
128,Aline,Gomes,1965-10-26,female,Yes,2224602637626717,alin.gomes65@gmail.com,+55-12-12404354,active,phyzical,2022-02-20,"[-23.4628,-46.5333]",portuguese,----------
129,Juliana,Gomes,1965-08-26,female,No,----------,juli.gomes65@gmail.com,+55-48-48082017,active,phyzical,2020-04-14,"[-23.5475,-46.6361]",portuguese,----------
130,Maria,Almeida,1987-05-18,female,No,1457585565486026,mari.almei87@gmail.com,+55-07-07300700,active,phyzical,2022-04-30,"[-1.45583,-48.5044]",portuguese,----------
131,Franciska,Lima,2000-04-08,female,Yes,----------,fran.lima0@gmail.com,+55-22-22225861,active,phyzical,2020-11-21,"[-23.5475,-46.6361]",portuguese,----------
132,Francisco,Silva,1968-06-13,male,No,8172760443688430,fran.silva68@gmail.com,+55-41-41787783,inactive,phyzical,2020-02-28,"[-23.5475,-46.6361]",portuguese,2020-07-23
133,Jose,Lima,1993-08-04,male,Yes,----------,jose.lima93@gmail.com,+55-37-37813822,active,phyzical,2020-08-10,"[-15.77972,-47.92972]",portuguese,----------
134,Aline,Gomes,1991-08-22,female,Yes,0665856387840404,alin.gomes91@gmail.com,+55-53-53227068,inactive,phyzical,2020-09-01,"[-22.7856,-43.3117]",portuguese,2021-08-03
135,Franciska,Pereira,1990-05-16,female,Yes,8081464610431778,fran.perei90@gmail.com,+55-22-22662348,active,phyzical,2021-08-25,"[-12.9711,-38.5108]",portuguese,----------
136,Joao,Alves,1951-08-22,male,Yes,3270305824568188,joao.alves51@gmail.com,+55-51-51368831,active,phyzical,2021-06-27,"[-8.05389,-34.8811]",portuguese,----------
137,Franciska,Martins,1958-09-10,female,Yes,2317312643668644,fran.marti58@gmail.com,+55-47-47530815,inactive,phyzical,2020-04-01,"[-3.10194,-60.025]",portuguese,2022-01-24
138,Juliana,Costa,1991-02-03,female,Yes,7312581277141662,juli.costa91@gmail.com,+55-20-20200213,active,phyzical,2021-08-03,"[-19.9208,-43.9378]",portuguese,----------
139,Antonio,Alves,1984-01-13,male,No,7634878382300244,anto.alves84@gmail.com,+55-35-35114284,active,phyzical,2021-11-02,"[-15.77972,-47.92972]",portuguese,----------
140,Maria,Alves,1957-09-25,female,No,1882572567614048,mari.alves57@gmail.com,+55-88-88151048,inactive,phyzical,2020-11-27,"[-16.6786,-49.2539]",portuguese,2021-08-23
141,Jose,Araujo,2002-02-18,male,No,7271072785337242,jose.arauj2@gmail.com,+55-41-41416464,active,phyzical,2020-03-23,"[-23.9608,-46.3336]",portuguese,----------
142,Juliana,Ribeiro,1978-10-28,female,No,----------,juli.ribei78@gmail.com,+55-28-28160868,active,phyzical,2022-03-06,"[-19.9208,-43.9378]",portuguese,----------
143,Francisco,Ribeiro,1980-01-20,male,Yes,7714601886478360,fran.ribei80@gmail.com,+55-33-33047236,active,phyzical,2022-04-23,"[-23.5475,-46.6361]",portuguese,----------
144,Aline,Almeida,2002-08-09,female,Yes,----------,alin.almei2@gmail.com,+55-11-11425680,active,phyzical,2021-04-25,"[-23.5475,-46.6361]",english,----------
145,Marcos,Oliveira,1988-12-22,male,Yes,8088278732252443,marc.olive88@gmail.com,+55-76-76870371,active,phyzical,2022-04-05,"[-22.9064,-43.1822]",portuguese,----------
146,Juliana,Araujo,1986-09-04,female,No,----------,juli.arauj86@gmail.com,+55-26-26611827,active,phyzical,2021-05-18,"[-23.5475,-46.6361]",portuguese,----------
147,Franciska,Sousa,1989-08-17,female,Yes,1724672067854736,fran.sousa89@gmail.com,+55-30-30783383,active,phyzical,2020-07-14,"[-23.5475,-46.6361]",portuguese,----------
148,Lucas,Gomes,1956-07-06,male,Yes,5606504674287204,luca.gomes56@gmail.com,+55-27-27420644,inactive,phyzical,2020-05-06,"[-12.9711,-38.5108]",portuguese,2021-12-23
149,Antonia,Gomes,1976-03-24,female,Yes,----------,anto.gomes76@gmail.com,+55-23-23554014,inactive,phyzical,2020-02-22,"[-23.5475,-46.6361]",portuguese,2020-07-22
150,Fernanda,Ribeiro,2000-02-27,female,Yes,2767788876532305,fern.ribei0@gmail.com,+55-03-03557705,active,phyzical,2022-01-12,"[-8.05389,-34.8811]",portuguese,----------
151,Pedro,Silva,2003-03-02,male,Yes,6524470408586301,pedr.silva3@gmail.com,+55-33-33462074,active,phyzical,2021-10-05,"[-22.9064,-43.1822]",portuguese,----------
152,Marcia,Barbosa,1963-10-20,female,No,4062221043707462,marc.barbo63@gmail.com,+55-31-31563647,active,phyzical,2022-03-09,"[-22.9064,-43.1822]",portuguese,----------
153,Marcos,Oliveira,1977-06-05,male,Yes,6613333325655887,marc.olive77@gmail.com,+55-37-37666115,inactive,phyzical,2021-07-05,"[-10.9111,-37.0717]",portuguese,2021-08-05
